h3,lat,lon,status,stored_lcoh_solar,stored_lcoh_wind,stored_lcoh_best,solar_lcoh,wind_lcoh,lcoh_delta_solar,lcoh_delta_wind,solar_cf,wind_cf,solar_c_electricityPv,solar_c_electricityWind,solar_c_electricityGrid,solar_c_electrolyzerCapex,solar_c_stackReplacements,solar_c_electrolyzerOpex,solar_c_water,wind_c_electricityPv,wind_c_electricityWind,wind_c_electricityGrid,wind_c_electrolyzerCapex,wind_c_stackReplacements,wind_c_electrolyzerOpex,wind_c_water,solar_util,wind_util,solar_ely_cf,wind_ely_cf,solar_flh,wind_flh,solar_operating_hours,wind_operating_hours,solar_stack_replacements,wind_stack_replacements,solar_curtail_frac,wind_curtail_frac,solar_lcoe_usd_mwh,wind_lcoe_usd_mwh,solar_lcoe_per_consumed,wind_lcoe_per_consumed,pv_provider,pv_dataset_version,pv_valid,pv_reasons,wind_provider,wind_dataset_version,wind_valid,wind_reasons,lcoh_wacc_2024,lcoh_optimal_2024,optimal_ratio,optimal_pv_share,engine_version
837289fffffffff,-3.4950,139.2920,ready,11.9300,,11.9300,11.9302,,0.000173,,0.1357,,4.9425,0.0000,0.0000,6.1928,0.0000,0.7904,0.0045,,,,,,,,0.9566,,0.2597,,2274.7,,4400.0,,0,,0.0434,,78.62,,82.19,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
839cdafffffffff,-5.4637,139.6160,ready,13.6520,75.1260,13.6520,13.6524,75.1263,0.000445,0.000318,0.1174,0.0261,5.6563,0.0000,0.0000,7.0871,0.0000,0.9046,0.0045,0.0000,40.2221,0.0000,30.9495,0.0000,3.9503,0.0045,0.9662,0.9956,0.2269,0.0520,1987.7,455.2,4387.0,3092.0,0,0,0.0338,0.0044,90.88,665.93,94.06,668.87,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt5a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8372d4fffffffff,-3.3052,140.4482,ready,12.2490,94.6190,12.2490,12.2493,94.6185,0.000266,-0.000472,0.1307,0.0207,5.0747,0.0000,0.0000,6.3585,0.0000,0.8116,0.0045,0.0000,50.6587,0.0000,38.9801,0.0000,4.9753,0.0045,0.9672,0.9967,0.2529,0.0413,2215.5,361.4,4366.0,2404.0,0,0,0.0328,0.0033,81.62,839.61,84.39,842.43,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83728afffffffff,-4.7632,137.7218,ready,13.4340,88.3250,13.4340,13.4339,88.3250,-0.000124,0.000007,0.1194,0.0221,5.5657,0.0000,0.0000,6.9736,0.0000,0.8901,0.0045,0.0000,47.2890,0.0000,36.3872,0.0000,4.6443,0.0045,0.9658,0.9997,0.2306,0.0442,2020.0,387.1,4380.0,4368.0,0,0,0.0342,0.0003,89.39,786.17,92.55,786.39,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt5a180-2014-2023/tmy-v1,true,"",nasa-power,nasa-power-2015-2024-hub120-generic-5.6MW/tmy-v1,true,"",,,,,0.1.0
838cd5fffffffff,-2.3131,101.1419,ready,11.2150,80.9440,11.2150,11.2155,80.9439,0.000481,-0.000106,0.1476,0.0241,4.6463,0.0000,0.0000,5.8217,0.0000,0.7431,0.0045,0.0000,43.3369,0.0000,33.3463,0.0000,4.2562,0.0045,0.9360,1.0000,0.2762,0.0482,2419.8,422.4,4401.0,4272.0,0,0,0.0640,0.0000,72.32,720.67,77.27,720.67,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",nasa-power,nasa-power-2015-2024-hub120-generic-5.6MW/tmy-v1,true,"",,,,,0.1.0
839cdbfffffffff,-5.6511,138.4626,ready,12.7130,51.6830,12.7130,12.7128,51.6829,-0.000198,-0.000084,0.1258,0.0383,5.2668,0.0000,0.0000,6.5992,0.0000,0.8423,0.0045,0.0000,27.6699,0.0000,21.2910,0.0000,2.7175,0.0045,0.9684,0.9861,0.2437,0.0755,2134.7,661.6,4423.0,3812.0,0,0,0.0316,0.0139,84.81,453.75,87.58,460.14,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt6a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
839423fffffffff,-9.6673,124.1579,ready,9.6630,48.0040,9.6630,9.6627,48.0035,-0.000271,-0.000477,0.1823,0.0437,3.9363,0.0000,0.0000,4.9320,0.1605,0.6295,0.0045,0.0000,25.6999,0.0000,19.7751,0.0000,2.5240,0.0045,0.8871,0.9296,0.3235,0.0813,2833.5,712.4,4411.0,3285.0,1,0,0.1129,0.0704,58.54,397.29,65.98,427.38,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt10a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8368b6fffffffff,0.2898,110.9915,ready,11.4450,93.2700,11.4450,11.4448,93.2702,-0.000198,0.000188,0.1410,0.0210,4.7413,0.0000,0.0000,5.9407,0.0000,0.7583,0.0045,0.0000,49.9367,0.0000,38.4246,0.0000,4.9044,0.0045,0.9602,0.9953,0.2707,0.0419,2371.3,366.6,4353.0,2730.0,0,0,0.0398,0.0047,75.71,826.48,78.85,830.42,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836891fffffffff,-1.7466,114.1809,ready,11.0960,95.5300,11.0960,11.0964,95.5304,0.000394,0.000413,0.1457,0.0205,4.5969,0.0000,0.0000,5.7598,0.0000,0.7352,0.0045,0.0000,51.1469,0.0000,39.3558,0.0000,5.0232,0.0045,0.9584,0.9956,0.2792,0.0409,2445.7,357.9,4331.0,2752.0,0,0,0.0416,0.0044,73.26,846.83,76.44,850.55,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8368aafffffffff,1.6673,116.1978,ready,11.3840,,11.3840,11.3840,,-0.000030,,0.1423,,4.7161,0.0000,0.0000,5.9091,0.0000,0.7542,0.0045,,,,,,,,0.9560,,0.2721,,2383.9,,4345.0,,0,,0.0440,,74.97,,78.43,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
